"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","MCC"
"train",0.826918479560124,0.81792971551518,0.81955172250391,0.825348579147971,0.819551722503909,0.826918479560124,0.823218620591175,0.5,0.413459239780062,0.504494382022472,0.822424097537652,0.644874247837309
"test",0.466666666666667,0.811468094600625,0.00821596244131455,0.997805212620027,0.00821596244131455,0.466666666666667,0.0161476355247982,0.00333555703802535,0.00155659328441183,0.18945963975984,0.639067380633646,0.0409230752538824
