"Model","Dataset","Sensitivity","Specificity","Precision","F1","AUC"
"drf","train",1,1,1,1,1
"drf","test",0.91304347826087,0.834782608695652,0.815533980582524,0.861538461538462,0.92726843100189
"gbm","train",0.906976744186046,0.921641791044776,0.902777777777778,0.904872389791183,0.978705310656022
"gbm","test",0.91304347826087,0.817391304347826,0.8,0.852791878172589,0.936389413988658
"stacked","train",0.981395348837209,0.996268656716418,0.995283018867925,0.988290398126464,0.999809094064561
"stacked","test",0.923913043478261,0.808695652173913,0.794392523364486,0.85427135678392,0.934499054820416
